# tracer: function_graph
#
# CPU  TASK/PID         DURATION                  FUNCTION CALLS
# |     |    |           |   |                     |   |   |   |
 2)    dd-83135    |   0.167 us    |    dynamic_might_resched();
 2)    dd-83135    |               |    shmem_file_write_iter() {
 2)    dd-83135    |   0.209 us    |      down_write();
 2)    dd-83135    |   0.250 us    |      generic_write_checks();
 2)    dd-83135    |   0.208 us    |      file_remove_privs();
 2)    dd-83135    |   0.458 us    |      file_update_time();
 2)    dd-83135    |   1.625 us    |      generic_perform_write();
 2)    dd-83135    |   0.125 us    |      up_write();
 2)    dd-83135    |   3.791 us    |    }
 2)    dd-83135    |   5.208 us    |  }
 0)    dd-83133    |               |  vfs_write() {
 0)    dd-83133    |               |    rw_verify_area() {
 0)    dd-83133    |   0.750 us    |      security_file_permission();
 0)    dd-83133    |   1.042 us    |    }
 0)    dd-83133    |   0.166 us    |    write_null();
 0)    dd-83133    |   2.084 us    |  }
 3)    dd-83136    |               |  vfs_write() {
 3)    dd-83136    |               |    rw_verify_area() {
 3)    dd-83136    |   0.708 us    |      security_file_permission();
 3)    dd-83136    |   1.000 us    |    }
 3)    dd-83136    |   0.125 us    |    write_null();
 3)    dd-83136    |   1.959 us    |  }
 0)    dd-83133    |               |  vfs_write() {
 0)    dd-83133    |               |    rw_verify_area() {
 0)    dd-83133    |   0.375 us    |      security_file_permission();
 0)    dd-83133    |   0.667 us    |    }
 0)    dd-83133    |   0.125 us    |    write_null();
 0)    dd-83133    |   1.167 us    |  }
 0)    dd-83133    |               |  vfs_write() {
 0)    dd-83133    |               |    rw_verify_area() {
 0)    dd-83133    |   0.416 us    |      security_file_permission();
 0)    dd-83133    |   0.625 us    |    }
 0)    dd-83133    |   0.125 us    |    write_null();
 0)    dd-83133    |   1.208 us    |  }
 3)    dd-83136    |               |  vfs_write() {
 3)    dd-83136    |               |    rw_verify_area() {
 3)    dd-83136    |   0.416 us    |      security_file_permission();
 3)    dd-83136    |   0.666 us    |    }
 3)    dd-83136    |   0.125 us    |    write_null();
 3)    dd-83136    |   1.250 us    |  }
